index,generated_proverb,used
2,ergens in de wind steken,
4,het is een mooie dag voor de ogen.,
5,ergens de dood hebben,
7,een kleine visje in de mond houden,
8,op de plank staan,
9,ergens dan de zon,
11,een goed paardrijden is geen kunst.,
12,een van de vele schrammen op de maag hebben,
13,het zijn de luissjes.,
14,met de zweep op zijn rug hebben,
15,als een kat in een ei komt te zitten.,
16,op een of andere manier in het donker zijn,
17,de wind niet op zijn hoofd slaan,
18,aan de hand gaan liggen,
19,een klein stukje vlees aan de bak,
20,op de schop zitten,
21,op een dag zijn er twee dagen zonder eten.,
24,de beste is niet de beste. Dat is de beste in het kwaad.,
25,de voet van de ezel gaan zitten,
26,"als de duivel zijn eigen ogen aanschouwen, zal de duivel zijn",
31,de duivel heeft geen naam en geen naam in de hemel,
33,een pilletje voor je neus laten,
35,de wereld in het water krijgen,
37,de luit niet in de steek laten,
41,aan het veld slaan,
43,een vogel op een stokje hebben,
44,de dood niet altijd als een vogel uit de hemel komen,
45,de deur uit de kast hebben,
47,het is niet zo dat de boer het kalfsvlees van de schapen in de wei is,
48,op een of andere manier de deur uit de kast open kunnen laten,
53,het gaat niet zo goed met je ogen houden,
54,een kat in de boom zetten,
62,zijn hart gaat niet meer aan de duivel,
65,de kat met de kat is een kat in de pot.,
71,aan de voet van de berg komen,
72,in de ban van het goud krijgen,
73,de wind op het dak krijgen,
75,een groot gat in het water,
77,ergens een grote hond op een goede dag op de hielen zitten,
80,de zon aan de hemel gaan,
85,de duivel in de ogen kijken,
86,de beste zaak is een beste zaak,
89,met de dood van de duivel,
91,aan het einde der tijden is een mens het hoofd van zijn paard,
92,het is niet het beste paard te paard hebben,
95,zijn oog in de lucht steken,
100,de wereld hebben,
101,de hand op de knip is de beste,
102,"als de wind in het zeilen wordt, zijn er geen zeilen",
105,een kleine kat in de mand hebben,
107,"op een ander schip komen, of op een ander schip varen.",
109,ergens een goede man op de grond staan,
112,een beetje op de hoogte van de wereld gaan,
115,als de duivel in de hemel vallen.,
116,"de kat is het paard, de kat is het paard niet.",
119,aan de rand van de afgrond staan,
123,het zal wel iets aan zijn hand hebben,
131,de man die het niet op zijn kop heeft is het goed om zijn hoofd op de schouders te zetten,
132,een klein kind kunnen maken.,
133,als een varkentje als het paard van de haas,
134,zijn neus op de mouw steken,
137,het moet je niet op de fiets rijden,
138,het is niet de eerste keer dat een paard in de wei een paard heeft. de knechts hebben het paard,
144,met een klap kunnen slaan,
147,ergens de doodslaan van een kind,
148,op een of andere manier iets op de grond hebben,
151,een luipaard is een luipaard.,
157,een van de eerste twee poten hebben,
158,ergens het eind hebben,
159,uit de mond blazen,
167,een grote zak op zijn hoofd hangen,
168,de lering is geen mis.,
169,de grote klok slaan,
174,de wind op de molen hebben,
175,een vogel van een boom hebben,
177,als een vis van de zee,
179,"het is niet zo, als een kip met een vork in de maag krijgt.",
182,ergens een paard niet naar de boom zetten,
183,zijn hoofd op de grond hangen,
184,een gat in de lucht zitten,
189,de luis in het hooi steken,
190,als een paaltje uit het water,
196,de dood in de lucht krijgen,
197,de mens kan zijn mond niet hebben.,
199,het is een mooie meid in de boom staan,
202,een mens met een hart vol vol tanden hebben,
204,een goede sigaar opsteken,
208,de oude man zijn broek uit zijn broek laten hangen,
214,de eerste keer in een lange rij zitten,
217,de eerste drie dagen zijn er twee of drie dagen lang.,
232,de duivel zijn bek aan de haak gooien,
246,uit het harnas jagen,
250,een grote boom vallen,
251,de dood in de brouwerij,
257,een grote zak van brood op de plank,
259,de hele dag op de fiets hebben,
261,met de vingers op de rug gaan slaan,
262,aan de muur klimmen,
263,uit de pot hangen,
268,met een geweer op je rug.,
269,een klein schip met een kleine kiel. is een schip met een klein kiel. aan het schip,
275,de grote klok in de oven slaan,
277,als een aap met een kop op de grond zijn,
280,"het is geen schande, dat je een paard op het water komt, of dat je het paard van een ander niet ziet, dat je de paarden niet heeft, maar het paard van de ander is.",
282,een kind in de gaten,
285,een beetje over een glaasje drinken,
289,het vuur op de keel hebben,
294,met de stok van de bakker,
296,"het is geen kwestie van het paard of de ruiter, maar van de koe.",
300,de deur van de hel slaan,
308,als een kat in de mand vallen,
311,het was geen slecht moment voor het paard van de duivel.,
313,het beste paard van de wereld zijn.,
337,het is niet zo dat je een hond moet zijn.,
349,de zon op de wolken hangen,
359,ergens de aarde niet in de steek slaan,
360,de eerste keer is het goed om in de pot te blijven,
363,een kat in de tuin houden,
369,de dood van een ander zijn,
373,zijn ogen zijn altijd de oren van de duivel.,
379,met een stok in de keel steken,
381,de deur in de keuken nemen,
386,de grote hond in het zadel krijgen,
388,een klein kind als een aaltje op zijn kop houden,
391,het is niet voor niets een grote vis zijn,
392,een beetje aan de schenen trekken,
395,een groot glas wijn met het water,
399,ergens een kind met een mes in zijn maag steken,
402,de dood van de koe is een daad van God,
403,het is de laatste jaren niet lang stil.,
413,een klein stukje vlees gegeten krijgen,
416,een vogel uit het water zitten,
418,het zal de wind waaien,
423,op een gegeven moment het gevoel hebben van een luipaard.,
425,een grote beer en een klein paard hebben,
428,"zijn hart heeft de waarheid op de proppen, de waarheid is de waarheid.",
449,als een koe in de wei zitten,
454,een man in de kerk slaan,
456,de voet van de berg steken,
458,het paard van de ezel kan de wind op zijn kop hangen,
460,de grote man met de snor aan zijn hoofd hangen,
472,een vogel in de buik hebben,
473,op de tong bijten,
474,de hele nacht op het paard zitten,
476,het is geen slecht paard in het donker.,
486,de man in de broek nemen,
495,de hele wereld zal niet aan een touwtje trekken,
504,de grote klok niet houden,
507,de grote hond in de wei staan,
508,de dood is het beste dat er in de dood niet is,
509,het is geen schande als je niet op een paard kan staan.,
510,in de eerste plaats de lucht hebben,
511,de wind op de molen halen,
512,in de keuken kunnen koken,
513,"het is een grote pot, maar een pot met een deksel",
520,de deur van de kerk zijn,
565,een vogel in de keel krijgen,
569,het paard van de duivel,
571,het paard heeft geen paard,
575,het is een kleine man in een grote jas.,
576,de voet bij de krib zetten,
583,een pietje in de molen gooien,
590,de zon op de grond werpen,
593,als het goed gaat is de mens de baas.,
623,de wereld niet met de zweep in de steek laten,
624,de grote man zijn ogen dichtdoen,
631,in de hand van een beer zitten,
632,de man van het hooi zitten,
633,de mens zijn hart laten doen,
642,aan de brug komen,
643,de oude man in de zak steken,
654,op een dag een paard van je paard te paard krijgen,
675,op een voetstuk klimmen,
679,ergens op het randje van het bed kunnen slapen,
680,ergens geen goede naam geven,
682,het is geen paard dat zich op het water hebben.,
686,een paard in de val zetten,
696,een pontje op de neus houden,
700,het is een goed paard om een paard aan te jagen,
701,de kat van de molen.,
705,het is een lapje voor de neus.,
708,een kat op de buik vallen,
717,een vogel voor de gek houden,
720,een paard voor het paard hebben,
730,de wind waait een zeil,
