proverb,meaning,used,index
maak je borst maar nat,bereid je voor op een zware klus (of op veel tegenstand),2021-05-19 00:19:49.785305,2
hij heeft een haaienmaag,hij kan alles verorberen,,3
wat doe je voor de kost?,hoe verdien je je geld?,2021-05-19 00:21:29.941785,4
dat heeft nogal wat voeten in de aarde,dat is moeilijk te realiseren,2021-05-19 00:21:54.584512,5
Honger als een paard hebben. ,Enorme honger hebben,2021-05-19 00:24:17.871137,6
een schuimspaan zijn,Een zuiplap of niksnut zijn,,7
voor het blok zetten,"iemand onverwacht in een lastige positie brengen; bijvoorbeeld iemand dwingen te reageren die dat eigenlijk niet wil, of iemand dwingen een keuze te maken.<>",,8
het hazenpad (ver)kiezen,er vandoor gaan of vluchten,,9
van stuurboord naar bakboord zenden,van het kastje naar de muur sturen,,10
mee-eten uit de grote pot van Egypte,meegenieten zonder vergoeding,,11
de zeilen hijsen,"opstaan, vertrekken",,12
een kat in het donker/nauw maakt rare sprongen,in een benarde situatie doet men vreemde dingen,,13
van Jan Pet,"onverzorgd, waardeloos",,14
zich een hoedje schrikken,enorm schrikken,,15
zuivel op zuivel is voer voor de duivel,"in de Middeleeuwen gebruikt om mensen van hekserij te beschuldigen, wanneer zij zuivel op zuivel op hun brood deden",,16
er dienen geen twee masten op een schip,er kan er maar één het bevel voeren,,17
in den brede,uitvoerig,,18
vi coactus,met geweld afgedwongen,,19
op de eerste april zendt men de gekken waar men wil,op 1 april worden grappen uitgehaald,,20
doorgaan tot het gaatje,doorzetten tot het einde is bereikt,,21
met alle soorten van genoegen,heel graag,,22
recht en slecht,eenvoudig en eerlijk,,23
door de mazen der wet kruipen,de wet listig ontduiken,,24
de spiering doet de kabeljauw afslaan,veel slechte waar op de markt doet de prijzen van de goede waar dalen,,25
dat staat niet in zijn woordenboek,"dat kent hij niet, daar doet hij niet aan mee, heeft hij nog nooit van gehoord",,26
het is een gladde aal,niet gemakkelijk te vangen (figuurlijk),,27
zich iets laten aanleunen,zich iets laten welgevallen,,28
dik doen,opscheppen,,29
in casu,met inbegrip van,,30
een ondergeschoven kindje zijn,iets of iemand is miskend. Zie bedstede voor de letterlijke betekenis,,31
ergens een streep onder zetten,"het stoppen, beëindigen",,32
lazarus zijn,dronken zijn,,33
iemand de deur wijzen,iemand wegsturen,,34
de huik naar de wind hangen,meeheulen - altijd andermans standpunt volgen,,35
geen naam mogen hebben,niets te betekenen zijn,,36
een man van de klok zijn,iemand die steeds precies op tijd is,,37
als bliksemafleider fungeren,iemand die of iets dat de boze bui van iemand kan afleiden,,38
beter één vogel in de hand dan tien in de lucht,liever een beetje dan helemaal niets / kleine concrete resultaten zijn beter dan grootse plannen,,39
ergens een halszaak van maken,iets heel erg aantrekken en ernstig nemen,,40
zich van kant maken,zelfmoord plegen,,41
save our souls,(S.O.S) Redt onze zielen,,42
zich vergalopperen,al te snel iets willen doen,,43
een oogje op iemand hebben,"tedere, mogelijk verliefde, gevoelens voor iemand koesteren",,44
wel een kwastje mogen hebben,wel eens geverfd mogen worden,,45
als een bok op de haverkist,wakend om de gelegenheid niet te laten voorbijgaan,,46
de muts zich verkeerd staan,een slecht humeur hebben,,47
om over naar huis te schrijven,erg bijzonder,,48
de dader ligt op het kerkhof,de schuldige is niet te vinden,,49
bij de kladden krijgen,te pakken krijgen,,50
twee joden weten wat een bril kost,we hoeven elkaar niets wijs te maken,,51
zijn sluis openzetten,een grote mond zetten,,52
een ei is geen ei twee ei is een half ei drie ei is een paasei,"één is niet genoeg, twee is beter, drie is goed",,53
in der minne schikken,zonder verder geruzie bijleggen,,54
de baard in de keel hebben,overgang van kinderstem naar volwassen stem,,55
iets soldaat maken,iets openmaken en helemaal opeten,,56
zo gaan er twaalf in het dozijn,dat heeft weinig waarde,,57
"weet wat je zegt, maar zeg niet alles wat je weet",wees voorzichtig met woorden en je informatie,,58
van de naald tot de draad,tot in het kleinste detail,,59
ik help je dat wensen,ik hoop het wel voor je!,,60
alle registers opentrekken,z`n uiterste best doen,,61
als het huis volbouwd is breekt men de steigers af,"als het doel bereikt is, vergeet men de helpers",,62
op jaren komen,al een zekere leeftijd bereiken,,63
in de meuk staan,laten weken om zacht te worden,,64
geluk is de kunst een boeket te maken van de bloemen waar je bij kunt,gelukkig leven met de gegeven mogelijkheden/beperkingen,,65
iemand kunnen maken en breken,de mogelijkheid hebben te beslissingen over iemands leven en dood en welbevinden,,66
zijn trekken thuis krijgen,door anderen op dezelfde manier behandeld worden als je hun behandelde (bv met een streek),,67
"wat van ver komt, is lekker","iets wat van ver komt, is bijzonder. Daarom denkt men dat het ook beter zal zijn",,68
een nul in het cijfer zijn,niets in te brengen hebben,,69
de lenden smeren,afrossen,,70
het hoofd boven water houden.,"financieel rondkomen, juist genoeg geld hebben om te kunnen leven.",,71
zijn beslag krijgen,"definitief ten einde lopen , beslist worden",,72
die vis heeft moet ook de graat hebben,je moet ook de nadelen accepteren (geen rozen zonder doornen),,73
met één voet in het graf staan,iemand gaat bijna dood,,74
als jut voor de haakmand staan,"beteuterd, triest",,75
heet van de naald,nog heel nieuw (van een product),,76
hoc est,dat is,,77
eigen roem/lof stinkt,door over jezelf op te scheppen maak je een nare indruk,,78
uitgaan als een nachtkaars,"langzaam doven, sterven",,79
dertien ogen gooien,onmogelijk veel geluk hebben,,80
van pomp noch pompstang weten,"erg dom zijn, weinig weten",,81
aan de weg timmeren,veel activiteiten ontplooien en daarmee naar buiten treden om verandering en vernieuwing te bewerkstelligen,,82
het pleit beslechten/beslissen/verliezen,de zaak definitief verliezen,,83
een reus op lemen voeten,schijnbaar sterk maar in feite zwak,,84
iemand op de vingers tikken,"een standje geven, berispen",,85
open kaart spelen,"eerlijk zijn, niets verbergen",,86
het beste paard van stal wordt overgeslagen,grappige uitspraak wanneer iemand overgeslagen wordt,,87
zich in de vingers snijden,zichzelf (onbedoeld) benadelen,,88
het in de ramen hebben,het in de gaten hebben,,89
hij is zo stoned als een garnaal (ook makreel),hij is stomdronken,,90
op de grote trom slaan,aandacht proberen te krijgen voor diens zaak,,91
het een eind uit de broek laten hangen,royaal zijn,,92
geen voetbreed wijken,hard op zijn standpunt blijven,,93
dat zal mij een zorg wezen,daar trek ik me niets van aan,,94
een loodje in het zakje doen,een kleine bijdrage leveren,,95
iemand in de wielen rijden,iemand tegenwerken om te zorgen dat het mis gaat,,96
de eindjes (niet) aan elkaar knopen,(niet) rond komen (met z'n inkomen),,97
